data,money
20140622,69300.0
20140623,21900.0
20140624,24700.0
20140625,34200.0
20140626,34200.0
20140627,149000.0
20140628,30600.0
20140629,66500.0
20140630,62400.0
20140701,65000.0
20140702,148900.0
20140703,49500.0
20140704,79500.0
20140705,26800.0
20140706,14100.0
20140707,62700.0
20140708,55100.0
20140709,146500.0
20140710,34800.0
20140711,24300.0
20140712,61300.0
20140713,18300.0
20140714,38000.0
20140715,82000.0
20140716,103800.0
20140717,49600.0
20140718,31600.0
20140719,48000.0
20140720,23500.0
20140721,26900.0
20140722,41500.0
20140723,188300.0
20140724,36000.0
20140725,24500.0
20140726,34200.0
20140727,26100.0
20140728,41200.0
20140729,37000.0
20140730,28300.0
20140731,185300.0
20140801,60400.0
20140802,23400.0
20140803,57600.0
20140804,27100.0
20140805,46900.0
20140806,38700.0
20140807,135000.0
20140808,43400.0
20140809,26800.0
20140810,96700.0
20140811,71800.0
20140812,156700.0
20140813,44900.0
20140814,48500.0
20140815,304900.0
20140816,34300.0
20140817,175000.0
20140818,47300.0
20140819,55700.0
20140820,44500.0
20140821,34200.0
20140822,20400.0
20140823,45300.0
20140824,48900.0
20140825,99200.0
20140826,13100.0
20140827,11900.0
20140828,30200.0
20140829,48700.0
20140830,32700.0
20140831,22900.0
20140901,34400.0
20140902,209900.0
20140903,23900.0
20140904,51400.0
20140905,67900.0
20140906,21900.0
20140907,12700.0
20140908,229500.0
20140909,50200.0
20140910,29700.0
20140911,78000.0
20140912,38600.0
20140913,40700.0
20140914,60500.0
20140915,105800.0
20140916,15900.0
20140917,67900.0
20140918,304900.0
20140919,44800.0
20140920,35000.0
20140921,13400.0
20140922,60100.0
20140923,22700.0
20140924,51300.0
20140925,132900.0
20140926,55000.0
20140927,59200.0
20140928,97100.0
20140929,170900.0
20140930,100400.0
20141001,53000.0
20141002,41800.0
20141003,20900.0
20141004,28800.0
20141005,168300.0
20141006,66100.0
20141007,15300.0
20141008,73700.0
20141009,93700.0
20141010,57700.0
20141011,38000.0
20141012,164000.0
20141013,46000.0
20141014,56700.0
20141015,85700.0
20141016,200900.0
20141017,57100.0
20141018,17600.0
20141019,14700.0
20141020,54600.0
20141021,57700.0
20141022,64200.0
20141023,184900.0
20141024,43000.0
20141025,39900.0
20141026,30000.0
20141027,60300.0
20141028,48600.0
20141029,115900.0
20141030,71200.0
20141031,49300.0
20141101,29100.0
20141102,54600.0
20141103,73100.0
20141104,83000.0
20141105,74900.0
20141106,52800.0
20141107,22000.0
20141108,56700.0
20141109,21400.0
20141110,50500.0
20141111,50600.0
20141112,20800.0
20141113,109100.0
20141114,84700.0
20141115,40000.0
20141116,53600.0
20141117,70400.0
20141118,161100.0
20141119,51300.0
20141120,55300.0
20141121,39400.0
20141122,21300.0
20141123,20100.0
20141124,35100.0
20141125,163000.0
20141126,63600.0
20141127,12100.0
20141128,45800.0
20141129,23800.0
20141130,29100.0
20141201,145000.0
20141202,39300.0
20141203,55500.0
20141204,45900.0
20141205,164600.0
20141206,79400.0
20141207,24900.0
20141208,30700.0
20141209,52900.0
20141210,33800.0
20141211,356700.0
20141212,58500.0
20141213,29700.0
20141214,42500.0
20141215,34800.0
20141216,53000.0
20141217,99200.0
20141218,59000.0
20141219,56400.0
20141220,32200.0
20141221,18400.0
20141222,53500.0
20141223,73400.0
20141224,70400.0
20141225,40900.0
20141226,60300.0
20141227,29400.0
20141228,41700.0
20141229,82300.0
20141230,63900.0
20141231,93700.0
20140101,350400.0
20140102,617400.0
20140103,82100.0
20140104,352600.0
20140105,75200.0
20140106,540700.0
20140107,481450.0
20140108,510400.0
20140109,497650.0
20140110,482000.0
20140111,70600.0
20140112,415050.0
20140113,70100.0
20140114,513600.0
20140115,56700.0
20140116,449700.0
20140117,436300.0
20140118,478600.0
20140119,411700.0
20140120,52600.0
20140121,512550.0
20140122,348050.0
20140123,540700.0
20140124,468000.0
20140125,442200.0
20140126,514750.0
20140127,57000.0
20140128,546450.0
20140129,582100.0
20140130,365400.0
20140131,4500.0
20140201,53000.0
20140202,375700.0
20140203,4400.0
20140204,15800.0
20140205,410000.0
20140206,22800.0
20140207,557700.0
20140208,556650.0
20140209,42900.0
20140210,606600.0
20140211,551500.0
20140212,45400.0
20140213,592700.0
20140214,459100.0
20140215,65300.0
20140216,357550.0
20140217,69700.0
20140218,449250.0
20140219,68600.0
20140220,475100.0
20140221,405650.0
20140222,33500.0
20140223,13300.0
20140224,456600.0
20140225,44800.0
20140226,515150.0
20140227,74300.0
20140228,442100.0
20140301,640850.0
20140302,28500.0
20140303,495700.0
20140304,630500.0
20140305,42500.0
20140306,546350.0
20140307,570400.0
20140308,362700.0
20140309,8100.0
20140310,529550.0
20140311,80100.0
20140312,528100.0
20140313,435800.0
20140314,361950.0
20140315,364600.0
20140316,44500.0
20140317,474000.0
20140318,426800.0
20140319,540750.0
20140320,80600.0
20140321,428000.0
20140322,19600.0
20140323,455150.0
20140324,290800.0
20140325,80100.0
20140326,528150.0
20140327,288100.0
20140328,92100.0
20140329,418750.0
20140330,13200.0
20140331,432000.0
20140401,111100.0
20140402,431300.0
20140403,20600.0
20140404,476650.0
20140405,34500.0
20140406,52100.0
20140407,287100.0
20140408,104200.0
20140409,474350.0
20140410,67000.0
20140411,451550.0
20140412,64400.0
20140413,377150.0
20140414,38900.0
20140415,444800.0
20140416,18400.0
20140417,477750.0
20140418,43100.0
20140419,526500.0
20140420,36800.0
20140421,478200.0
20140422,503000.0
20140423,487800.0
20140424,80900.0
20140425,39300.0
20140426,344600.0
20140427,44000.0
20140428,47000.0
20140429,408700.0
20140430,105100.0
20140501,406450.0
20140502,34700.0
20140503,55100.0
20140504,449750.0
20140505,395400.0
20140506,69600.0
20140507,475150.0
20140508,76600.0
20140509,698600.0
20140510,415100.0
20140511,9700.0
20140512,499900.0
20140513,70000.0
20140514,539450.0
20140515,63400.0
20140516,486500.0
20140517,310450.0
20140518,24800.0
20140519,418750.0
20140520,66300.0
20140521,503600.0
20140522,43500.0
20140523,439600.0
20140524,43300.0
20140525,350950.0
20140526,69200.0
20140527,381800.0
20140528,54100.0
20140529,482550.0
20140530,32300.0
20140531,88500.0
20140601,14200.0
20140602,334000.0
20140603,30700.0
20140604,528050.0
20140605,462100.0
20140606,22500.0
20140607,438550.0
20140608,48800.0
20140609,495200.0
20140610,74900.0
20140611,500800.0
20140612,83600.0
20140613,454500.0
20140614,43200.0
20140615,474500.0
20140616,30500.0
20140617,405000.0
20140618,18600.0
20140619,26100.0
20140620,544250.0
20140621,9700.0
20140622,398200.0
20140623,44700.0
20140624,474150.0
20140625,70200.0
20140626,64800.0
20140627,477100.0
20140628,17200.0
20140629,25000.0
20140630,515700.0
20140701,13700.0
20140702,537200.0
20140703,58100.0
20140704,454800.0
20140705,62500.0
20140706,371700.0
20140707,447500.0
20140708,308250.0
20140709,50400.0
20140710,457600.0
20140711,58700.0
20140712,442800.0
20140713,17800.0
20140714,64800.0
20140715,446700.0
20140716,45600.0
20140717,30700.0
20140718,521900.0
20140719,22700.0
20140720,31500.0
20140721,435000.0
20140722,61900.0
20140723,390650.0
20140724,35000.0
20140725,527100.0
20140726,15500.0
20140727,6200.0
20140728,493400.0
20140729,75800.0
20140730,53000.0
20140731,467000.0
20140801,88500.0
20140802,13400.0
20140803,493050.0
20140804,83300.0
20140805,325750.0
20140806,37000.0
20140807,71200.0
20140808,447100.0
20140809,22800.0
20140810,435800.0
20140811,98700.0
20140812,386400.0
20140813,67700.0
20140814,453550.0
20140815,483600.0
20140816,38400.0
20140817,496300.0
20140818,78000.0
20140819,6300.0
20140820,492250.0
20140821,398900.0
20140822,45000.0
20140823,416050.0
20140824,48300.0
20140825,57800.0
20140826,392550.0
20140827,17900.0
20140828,56700.0
20140829,66600.0
20140830,557050.0
20140831,10600.0
20140901,31400.0
20140902,584550.0
20140903,81600.0
20140904,47600.0
20140905,599100.0
20140906,57900.0
20140907,36200.0
20140908,47400.0
20140909,73800.0
20140910,559450.0
20140911,228450.0
20140912,62100.0
20140913,47200.0
20140914,16900.0
20140915,513850.0
20140916,65800.0
20140917,72900.0
20140918,440250.0
20140919,66900.0
20140920,39800.0
20140921,60300.0
20140922,541200.0
20140923,65200.0
20140924,110900.0
20140925,92500.0
20140926,496350.0
20140927,65700.0
20140928,67900.0
20140929,591350.0
20140930,144100.0
20141001,30400.0
20141002,46900.0
20141003,21900.0
20141004,694450.0
20141005,16400.0
20141006,52000.0
20141007,56700.0
20141008,77700.0
20141009,82800.0
20141010,647400.0
20141011,61300.0
20141012,41200.0
20141013,539650.0
20141014,39800.0
20141015,102700.0
20141016,641450.0
20141017,48600.0
20141018,34700.0
20141019,34700.0
20141020,568950.0
20141021,70900.0
20141022,30100.0
20141023,732850.0
20141024,129400.0
20141025,52600.0
20141026,28200.0
20141027,47900.0
20141028,78400.0
20141029,507800.0
20141030,67100.0
20141031,73600.0
20141101,97400.0
20141102,50100.0
20141103,627100.0
20141104,22500.0
20141105,43700.0
20141106,656250.0
20141107,32000.0
20141108,54900.0
20141109,14800.0
20141110,58400.0
20141111,50000.0
20141112,571200.0
20141113,84100.0
20141114,66300.0
20141115,539550.0
20141116,12600.0
20141117,43100.0
20141118,545100.0
20141119,27000.0
20141120,78300.0
20141121,76300.0
20141122,38200.0
20141123,553300.0
20141124,90700.0
20141125,51900.0
20141126,26300.0
20141127,37400.0
20141128,595700.0
20141129,35500.0
20141130,47900.0
20141201,26400.0
20141202,525400.0
20141203,52000.0
20141204,77900.0
20141205,67200.0
20141206,636150.0
20141207,6400.0
20141208,724150.0
20141209,85100.0
20141210,292550.0
20141211,35000.0
20141212,58300.0
20141213,56600.0
20141214,66200.0
20141215,741950.0
20141216,418900.0
20141217,226500.0
20141218,26000.0
20141219,15800.0
20141220,38300.0
20141221,476750.0
20141222,52700.0
20141223,71000.0
20141224,462600.0
20141225,58400.0
20141226,36400.0
20141227,562200.0
20141228,55300.0
20141229,57000.0
20141230,766900.0
20141231,83100.0
20140101,89800.0
20140102,226800.0
20140103,111800.0
20140104,44300.0
20140105,84400.0
20140106,204200.0
20140107,82500.0
20140108,93800.0
20140109,204600.0
20140110,93300.0
20140111,69600.0
20140112,198300.0
20140113,107000.0
20140114,101400.0
20140115,238700.0
20140116,118000.0
20140117,244700.0
20140118,105900.0
20140119,90000.0
20140120,213500.0
20140121,78900.0
20140122,70700.0
20140123,77600.0
20140124,208000.0
20140125,81000.0
20140126,115900.0
20140127,208200.0
20140128,203700.0
20140129,195400.0
20140130,92800.0
20140131,25300.0
20140201,63500.0
20140202,23800.0
20140203,137800.0
20140204,13400.0
20140205,26700.0
20140206,31300.0
20140207,29900.0
20140208,45400.0
20140209,45100.0
20140210,201300.0
20140211,30600.0
20140212,65200.0
20140213,93800.0
20140214,111800.0
20140215,101200.0
20140216,109200.0
20140217,86800.0
20140218,217500.0
20140219,66800.0
20140220,91600.0
20140221,77100.0
20140222,150800.0
20140223,44700.0
20140224,51300.0
20140225,29000.0
20140226,44300.0
20140227,231100.0
20140228,87700.0
20140301,60300.0
20140302,21100.0
20140303,49000.0
20140304,611400.0
20140305,44000.0
20140306,66100.0
20140307,88600.0
20140308,184500.0
20140309,79400.0
20140310,104100.0
20140311,212600.0
20140312,47000.0
20140313,70500.0
20140314,66900.0
20140315,55900.0
20140316,60100.0
20140317,129200.0
20140318,94400.0
20140319,68000.0
20140320,207600.0
20140321,77800.0
20140322,75900.0
20140323,43700.0
20140324,80100.0
20140325,120500.0
20140326,66000.0
20140327,51500.0
20140328,125500.0
20140329,47000.0
20140330,34000.0
20140331,48000.0
20140401,100400.0
20140402,165400.0
20140403,80200.0
20140404,102600.0
20140405,78900.0
20140406,101900.0
20140407,52400.0
20140408,80500.0
20140409,85700.0
20140410,194700.0
20140411,78800.0
20140412,46400.0
20140413,67300.0
20140414,105000.0
20140415,489800.0
20140416,96300.0
20140417,59500.0
20140418,84100.0
20140419,52900.0
20140420,124900.0
20140421,46600.0
20140422,89700.0
20140423,34700.0
20140424,78300.0
20140425,154300.0
20140426,32300.0
20140427,78200.0
20140428,69500.0
20140429,213800.0
20140430,60900.0
20140501,67000.0
20140502,36600.0
20140503,35100.0
20140504,190900.0
20140505,97800.0
20140506,95500.0
20140507,31600.0
20140508,180800.0
20140509,105600.0
20140510,51100.0
20140511,72500.0
20140512,151400.0
20140513,71700.0
20140514,46400.0
20140515,81800.0
20140516,207200.0
20140517,57300.0
20140518,93900.0
20140519,49200.0
20140520,226300.0
20140521,76600.0
20140522,77300.0
20140523,79000.0
20140524,158600.0
20140525,90600.0
20140526,45600.0
20140527,26800.0
20140528,43400.0
20140529,55100.0
20140530,139600.0
20140531,55900.0
20140601,22500.0
20140602,28100.0
20140603,61200.0
20140604,91100.0
20140605,134000.0
20140606,42900.0
20140607,75300.0
20140608,56100.0
20140609,95100.0
20140610,137900.0
20140611,37200.0
20140612,50700.0
20140613,34000.0
20140614,49800.0
20140615,36700.0
20140616,66000.0
20140617,130200.0
20140618,64500.0
20140619,52900.0
20140620,72000.0
20140621,26900.0
20140622,62600.0
20140623,140900.0
20140624,64500.0
20140625,50700.0
20140626,28900.0
20140627,72200.0
20140628,47500.0
20140629,51700.0
20140630,68000.0
20140701,64600.0
20140702,58000.0
20140703,43800.0
20140704,227500.0
20140705,41600.0
20140706,54700.0
20140707,81000.0
20140708,64400.0
20140709,145500.0
20140710,51500.0
20140711,94500.0
20140712,166100.0
20140713,60400.0
20140714,67300.0
20140715,52400.0
20140716,88600.0
20140717,164300.0
20140718,60300.0
20140719,55200.0
20140720,53100.0
20140721,82600.0
20140722,87400.0
20140723,41500.0
20140724,76200.0
20140725,39600.0
20140726,12000.0
20140727,22400.0
20140728,46500.0
20140729,164600.0
20140730,45000.0
20140731,55100.0
20140801,50800.0
20140802,32100.0
20140803,30200.0
20140804,80300.0
20140805,124500.0
20140806,63400.0
20140807,25400.0
20140808,123100.0
20140809,179300.0
20140810,23100.0
20140811,46800.0
20140812,83000.0
20140813,43400.0
20140814,200200.0
20140815,59200.0
20140816,73400.0
20140817,98700.0
20140818,165800.0
20140819,26400.0
20140820,65900.0
20140821,94900.0
20140822,45500.0
20140823,157300.0
20140824,40700.0
20140825,30200.0
20140826,45300.0
20140827,70600.0
20140828,124000.0
20140829,137700.0
20140830,41800.0
20140831,38900.0
20140901,271600.0
20140902,34300.0
20140903,37200.0
20140904,66600.0
20140905,89600.0
20140906,63100.0
20140907,132500.0
20140908,77900.0
20140909,66700.0
20140910,93700.0
20140911,161800.0
20140912,58800.0
20140913,42800.0
20140914,52100.0
20140915,71600.0
20140916,165100.0
20140917,53900.0
20140918,336900.0
20140919,45800.0
20140920,91700.0
20140921,40800.0
20140922,67100.0
20140923,146500.0
20140924,85800.0
20140925,62400.0
20140926,67400.0
20140927,30200.0
20140928,69700.0
20140929,121100.0
20140930,122200.0
20141001,30400.0
20141002,43900.0
20141003,50800.0
20141004,44300.0
20141005,76300.0
20141006,59500.0
20141007,54400.0
20141008,77100.0
20141009,94300.0
20141010,170200.0
20141011,87900.0
20141012,72200.0
20141013,54200.0
20141014,154800.0
20141015,68900.0
20141016,51000.0
20141017,62900.0
20141018,65500.0
20141019,134000.0
20141020,39500.0
20141021,49200.0
20141022,61600.0
20141023,46200.0
20141024,95900.0
20141025,40700.0
20141026,23100.0
20141027,71700.0
20141028,52600.0
20141029,38200.0
20141030,50600.0
20141031,67900.0
20141101,43000.0
20141102,81600.0
20141103,43500.0
20141104,83300.0
20141105,47000.0
20141106,78300.0
20141107,42900.0
20141108,50300.0
20141109,35200.0
20141110,37800.0
20141111,25300.0
20141112,38800.0
20141113,73700.0
20141114,80900.0
20141115,68100.0
20141116,50200.0
20141117,59600.0
20141118,28400.0
20141119,67700.0
20141120,121600.0
20141121,36100.0
20141122,20400.0
20141123,24600.0
20141124,38700.0
20141125,34300.0
20141126,172400.0
20141127,37900.0
20141128,207300.0
20141129,65500.0
20141130,49100.0
20141201,64200.0
20141202,84900.0
20141203,34400.0
20141204,245200.0
20141205,74100.0
20141206,27100.0
20141207,32000.0
20141208,63500.0
20141209,72200.0
20141210,86900.0
20141211,109300.0
20141212,31900.0
20141213,62400.0
20141214,44000.0
20141215,68100.0
20141216,61300.0
20141217,38500.0
20141218,48000.0
20141219,22700.0
20141220,14400.0
20141221,50100.0
20141222,142400.0
20141223,38500.0
20141224,66800.0
20141225,50800.0
20141226,66800.0
20141227,38400.0
20141228,43800.0
20141229,33700.0
20141230,59500.0
20141231,65200.0
20140101,52800.0
20140102,602300.0
20140103,555900.0
20140104,29100.0
20140105,419650.0
20140106,662350.0
20140107,457450.0
20140108,51500.0
20140109,519850.0
20140110,547200.0
20140111,6000.0
20140112,451800.0
20140113,53300.0
20140114,686600.0
20140115,521650.0
20140116,9200.0
20140117,540000.0
20140118,10100.0
20140119,439050.0
20140120,74200.0
20140121,452450.0
20140122,488300.0
20140123,920600.0
20140124,66900.0
20140125,423500.0
20140126,458100.0
20140127,52000.0
20140128,571000.0
20140129,572400.0
20140130,478300.0
20140131,100.0
20140202,1500.0
20140203,390150.0
20140204,20500.0
20140205,10900.0
20140206,396250.0
20140207,51400.0
20140208,523550.0
20140209,11500.0
20140210,581900.0
20140211,21700.0
20140212,411400.0
20140213,450700.0
20140214,27700.0
20140215,406900.0
20140216,17600.0
20140217,519200.0
20140218,476700.0
20140219,525900.0
20140220,33200.0
20140221,45000.0
20140222,437600.0
20140223,7800.0
20140224,47800.0
20140225,515200.0
20140226,569500.0
20140227,22500.0
20140228,502450.0
20140301,18300.0
20140302,6800.0
20140303,516800.0
20140304,318000.0
20140305,14000.0
20140306,498600.0
20140307,547750.0
20140308,34100.0
20140309,449800.0
20140310,348750.0
20140311,460100.0
20140312,370650.0
20140313,69400.0
20140314,408050.0
20140315,27000.0
20140316,40700.0
20140317,496100.0
20140318,28900.0
20140319,35600.0
20140320,498950.0
20140321,35900.0
20140322,13100.0
20140323,17700.0
20140324,431850.0
20140325,42400.0
20140326,425350.0
20140327,17200.0
20140328,23900.0
20140329,26700.0
20140330,397950.0
20140331,44500.0
20140401,461200.0
20140402,57300.0
20140403,421800.0
20140404,44800.0
20140405,33300.0
20140406,479400.0
20140407,55400.0
20140408,43200.0
20140409,532700.0
20140410,322300.0
20140411,41300.0
20140412,413300.0
20140413,39300.0
20140414,79600.0
20140415,488750.0
20140416,22000.0
20140417,329200.0
20140418,36000.0
20140419,15400.0
20140420,418450.0
20140421,32300.0
20140422,446150.0
20140423,36400.0
20140424,373600.0
20140425,43500.0
20140426,433900.0
20140427,19600.0
20140428,19500.0
20140429,524000.0
20140430,307350.0
20140501,22800.0
20140502,45600.0
20140503,394500.0
20140504,5000.0
20140505,462350.0
20140506,42400.0
20140507,42700.0
20140508,557050.0
20140509,361350.0
20140510,49500.0
20140511,360000.0
20140512,78800.0
20140513,398600.0
20140514,17300.0
20140515,559850.0
20140516,24900.0
20140517,365300.0
20140518,19500.0
20140519,28100.0
20140520,485200.0
20140521,60900.0
20140522,57700.0
20140523,349800.0
20140524,8400.0
20140525,12000.0
20140526,413800.0
20140527,71800.0
20140528,410800.0
20140529,52000.0
20140530,514250.0
20140531,21400.0
20140601,39200.0
20140602,436950.0
20140603,67300.0
20140604,419250.0
20140605,49100.0
20140606,21300.0
20140607,382500.0
20140608,9400.0
20140609,18000.0
20140610,483050.0
20140611,11500.0
20140612,487800.0
20140613,28400.0
20140614,472800.0
20140615,34500.0
20140616,411000.0
20140617,32100.0
20140618,563200.0
20140619,22700.0
20140620,3700.0
20140621,451800.0
20140622,338000.0
20140623,25200.0
20140624,6800.0
20140625,559500.0
20140626,9300.0
20140627,10800.0
20140628,469850.0
20140629,700.0
20140630,458800.0
20140701,510000.0
20140702,40700.0
20140703,413900.0
20140704,63700.0
20140705,416400.0
20140706,45300.0
20140707,464600.0
20140708,62500.0
20140709,537550.0
20140710,41900.0
20140711,479450.0
20140712,42500.0
20140713,46000.0
20140714,400700.0
20140715,46100.0
20140716,51000.0
20140717,499750.0
20140718,19000.0
20140719,439000.0
20140720,23100.0
20140721,46900.0
20140722,388250.0
20140723,45400.0
20140724,38600.0
20140725,463000.0
20140726,5200.0
20140727,66300.0
20140728,13900.0
20140729,356200.0
20140730,24300.0
20140731,481100.0
20140801,3000.0
20140802,12100.0
20140803,20800.0
20140804,523500.0
20140805,388250.0
20140806,19100.0
20140807,474700.0
20140808,22500.0
20140809,428250.0
20140810,43000.0
20140811,34100.0
20140812,453800.0
20140813,43800.0
20140814,540100.0
20140815,88100.0
20140816,463000.0
20140817,35300.0
20140818,488400.0
20140819,500850.0
20140820,42400.0
20140821,457400.0
20140822,38600.0
20140823,22700.0
20140824,12800.0
20140825,430200.0
20140826,373000.0
20140827,16900.0
20140828,19900.0
20140829,394700.0
20140830,9100.0
20140831,37400.0
20140901,24900.0
20140902,573100.0
20140903,17900.0
20140904,641550.0
20140905,47800.0
20140906,15500.0
20140907,469400.0
20140908,29300.0
20140909,51200.0
20140910,570750.0
20140911,23700.0
20140912,49000.0
20140913,483150.0
20140914,6000.0
20140915,97700.0
20140916,387900.0
20140917,31700.0
20140918,447800.0
20140919,61100.0
20140920,56700.0
20140921,33400.0
20140922,72700.0
20140923,574850.0
20140924,37700.0
20140925,32900.0
20140926,490800.0
20140927,64800.0
20140928,45800.0
20140929,575500.0
20140930,28300.0
20141001,21400.0
20141002,13100.0
20141003,5100.0
20141004,5000.0
20141005,600750.0
20141006,24200.0
20141007,21900.0
20141008,64900.0
20141009,658100.0
20141010,91500.0
20141011,62500.0
20141012,20500.0
20141013,84900.0
20141014,523250.0
20141015,68700.0
20141016,17400.0
20141017,575150.0
20141018,3800.0
20141019,4000.0
20141020,21000.0
20141021,590250.0
20141022,86000.0
20141023,46400.0
20141024,59000.0
20141025,25000.0
20141026,10900.0
20141027,622050.0
20141028,25800.0
20141029,25600.0
20141030,498900.0
20141031,15000.0
20141101,15100.0
20141102,15200.0
20141103,84100.0
20141104,48400.0
20141105,510450.0
20141106,45800.0
20141107,28100.0
20141108,573400.0
20141109,13900.0
20141110,26800.0
20141111,27000.0
20141112,41800.0
20141113,78700.0
20141114,102800.0
20141115,527900.0
20141116,18400.0
20141117,64300.0
20141118,28100.0
20141119,49100.0
20141120,502100.0
20141121,48500.0
20141122,19200.0
20141123,9300.0
20141124,21800.0
20141125,544900.0
20141126,40200.0
20141127,41100.0
20141128,43000.0
20141129,503400.0
20141130,41100.0
20141201,18600.0
20141202,38700.0
20141203,2600.0
20141204,626950.0
20141205,24700.0
20141206,16600.0
20141207,14600.0
20141208,709400.0
20141209,86300.0
20141210,312300.0
20141211,42500.0
20141212,501150.0
20141215,35700.0
20141216,31900.0
20141217,15900.0
20141218,434100.0
20141219,43200.0
20141220,4400.0
20141221,10000.0
20141222,571250.0
20141223,61200.0
20141224,33300.0
20141225,33500.0
20141226,64800.0
20141227,48400.0
20141229,606800.0
20141230,367700.0
20141231,129000.0
20150101,42000.0
20150102,31700.0
20150103,17200.0
20150104,106000.0
20150105,71400.0
20150106,37500.0
20150107,47400.0
20150108,29400.0
20150109,78800.0
20150110,52500.0
20150111,70800.0
20150112,60700.0
20150113,67600.0
20150114,29300.0
20150115,39400.0
20150116,67400.0
20150117,37700.0
20150118,55800.0
20150119,41800.0
20150120,78500.0
20150121,43300.0
20150122,43300.0
20150123,140000.0
20150124,76600.0
20150125,27800.0
20150126,41900.0
20150127,58200.0
20150128,161000.0
20150129,19200.0
20150130,51700.0
20150131,20400.0
20150201,25300.0
20150202,80700.0
20150203,42000.0
20150204,76500.0
20150205,93500.0
20150206,68200.0
20150207,55900.0
20150208,47400.0
20150209,65000.0
20150210,171700.0
20150211,79900.0
20150212,77600.0
20150213,166700.0
20150214,4200.0
20150215,146800.0
20150216,210200.0
20150217,83100.0
20150218,52200.0
20150219,14800.0
20150220,9300.0
20150221,6500.0
20150222,312900.0
20150223,30300.0
20150224,47200.0
20150225,42600.0
20150226,337800.0
20150227,17000.0
20150228,341800.0
20150301,14700.0
20150302,66400.0
20150303,87200.0
20150304,65500.0
20150305,69600.0
20150306,61400.0
20150307,31400.0
20150308,41600.0
20150309,67500.0
20150310,102400.0
20150311,72800.0
20150312,111400.0
20150313,79600.0
20150314,68200.0
20150315,52700.0
20150316,49500.0
20150317,71400.0
20150318,65500.0
20150319,41600.0
20150320,55800.0
20150321,23100.0
20150322,48100.0
20150323,400.0
20150324,98100.0
20150325,39000.0
20150326,49100.0
20150327,17000.0
20150328,98900.0
20150329,12000.0
20150330,53600.0
20150331,8600.0
20150401,137300.0
20150402,86200.0
20150403,75900.0
20150404,47900.0
20150405,70100.0
20150406,45700.0
20150407,61100.0
20150408,30700.0
20150409,46800.0
